Name;GSM3711329_WT1_NT;GSM3711330_WT2_NT;GSM3711331_WT3_NT;GSM3711332_WT1_Dox;GSM3711334_WT3_Dox;GSM3711335_LOF8_NT;GSM3711336_LOF11_NT;GSM3711337_LOF15_NT;GSM3711338_LOF8_Dox;GSM3711339_LOF11_Dox;GSM3711340_LOF15_Dox;GSM3711333_WT2_Dox;
Rpl7;50434;57361;94972;52153;71254;50434;57361;94972;52153;71254;50434;57361;94972
Rdh10;166;240;571;228;365;166;240;571;228;365;166;240;571
Gm38249;0;0;0;0;0;0;0;0;0;0;0;0;0
Stau2;334;633;1289;320;551;334;633;1289;320;551;334;633;1289
Ube2w;740;773;1232;772;704;740;773;1232;772;704;740;773;1232
Gm38342;0;0;0;0;0;0;0;0;0;0;0;0;0
Eloc;2656;2590;4559;2368;2222;2656;2590;4559;2368;2222;2656;2590;4559
Tmem70;689;477;774;786;424;689;477;774;786;424;689;477;774
Ly96;19;9;35;18;5;19;9;35;18;5;19;9;35
4921511E07Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Jph1;239;389;772;87;171;239;389;772;87;171;239;389;772
Gdap1;6;4;16;4;2;6;4;16;4;2;6;4;16
Pi15;2;0;0;1;0;2;0;0;1;0;2;0;0
Crispld1;10;76;132;12;39;10;76;132;12;39;10;76;132
Crisp4;0;0;0;0;0;0;0;0;0;0;0;0;0
Defb18;0;0;0;0;0;0;0;0;0;0;0;0;0
Defb41;1;0;0;3;0;1;0;0;3;0;1;0;0
Tfap2d;26;16;26;11;7;26;16;26;11;7;26;16;26
Tfap2b;0;0;1;0;0;0;0;1;0;0;0;0;1
Gm38382;0;0;0;0;0;0;0;0;0;0;0;0;0
Pkhd1;38;30;89;72;79;38;30;89;72;79;38;30;89
Gm37315;0;0;0;0;0;0;0;0;0;0;0;0;0
Il17a;0;0;0;0;0;0;0;0;0;0;0;0;0
Il17f;35;7;27;46;18;35;7;27;46;18;35;7;27
Mcm3;14882;20406;32041;13907;25211;14882;20406;32041;13907;25211;14882;20406;32041
Paqr8;161;299;446;229;678;161;299;446;229;678;161;299;446
Efhc1;62;19;32;73;39;62;19;32;73;39;62;19;32
Tram2;556;498;811;403;429;556;498;811;403;429;556;498;811
Tmem14a;94;115;190;121;130;94;115;190;121;130;94;115;190
Gm38224;0;0;0;0;0;0;0;0;0;0;0;0;0
Gsta3;102;95;72;94;70;102;95;72;94;70;102;95;72
Khdc1a;0;0;0;1;0;0;0;0;1;0;0;0;0
Khdc1c;0;0;1;0;0;0;0;1;0;0;0;0;1
Khdc1b;0;0;0;0;0;0;0;0;0;0;0;0;0
Kcnq5;17;16;59;29;20;17;16;59;29;20;17;16;59
Gm36949;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38243;0;0;0;0;0;0;0;0;0;0;0;0;0
Rims1;161;133;273;366;174;161;133;273;366;174;161;133;273
4933415F23Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm6420;0;0;0;0;0;0;0;0;0;0;0;0;0
Ogfrl1;655;491;865;650;471;655;491;865;650;471;655;491;865
B3gat2;3;2;1;1;3;3;2;1;1;3;3;2;1
Smap1;1832;1551;2723;1685;1657;1832;1551;2723;1685;1657;1832;1551;2723
Sdhaf4;441;266;423;503;282;441;266;423;503;282;441;266;423
Gm26524;0;0;0;0;0;0;0;0;0;0;0;0;0
Fam135a;1555;1259;2513;1291;1023;1555;1259;2513;1291;1023;1555;1259;2513
Gm37580;1;2;0;0;0;1;2;0;0;0;1;2;0
Col9a1;0;3;6;3;1;0;3;6;3;1;0;3;6
Col19a1;0;1;9;2;2;0;1;9;2;2;0;1;9
Lmbrd1;349;437;760;402;483;349;437;760;402;483;349;437;760
Adgrb3;53;26;79;96;64;53;26;79;96;64;53;26;79
Gm20172;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37543;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37331;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37211;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37862;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38286;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37880;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37011;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37051;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38260;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37628;0;0;0;0;0;0;0;0;0;0;0;0;0
8030445P17Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38198;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37077;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37895;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm36952;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37602;0;0;0;0;0;0;0;0;0;0;0;0;0
2900022M07Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
2900002M20Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm9884;1;3;0;0;0;1;3;0;0;0;1;3;0
4931408C20Rik;2;0;0;2;0;2;0;0;2;0;2;0;0
Gm38089;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm597;0;0;0;0;0;0;0;0;0;0;0;0;0
Phf3;4449;5111;8462;5967;7493;4449;5111;8462;5967;7493;4449;5111;8462
Gm37522;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37906;0;0;0;0;0;0;0;0;0;0;0;0;0
Ptp4a1;413;483;801;595;407;413;483;801;595;407;413;483;801
4931428L18Rik;6;8;18;2;4;6;8;18;2;4;6;8;18
Lgsn;0;0;0;0;0;0;0;0;0;0;0;0;0
Pih1d3;0;0;0;0;0;0;0;0;0;0;0;0;0
Khdrbs2;5;3;29;5;2;5;3;29;5;2;5;3;29
Gm37999;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37110;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37911;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm9839;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37792;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm5415;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37426;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37151;0;0;0;0;0;0;0;0;0;0;0;0;0
Prim2;1619;1771;2914;1552;2019;1619;1771;2914;1552;2019;1619;1771;2914
Gm37618;0;0;0;0;0;0;0;0;0;0;0;0;0
1700001G17Rik;0;8;1;3;0;0;8;1;3;0;0;8;1
Gm38173;0;0;0;0;0;0;0;0;0;0;0;0;0
Rab23;1180;1565;2497;2246;2401;1180;1565;2497;2246;2401;1180;1565;2497
Bag2;208;310;603;219;428;208;310;603;219;428;208;310;603
Gm37905;0;0;0;0;0;0;0;0;0;0;0;0;0
Zfp451;2526;3284;5263;3114;3829;2526;3284;5263;3114;3829;2526;3284;5263
Bend6;24;27;53;39;39;24;27;53;39;39;24;27;53
Gm37067;0;0;0;0;0;0;0;0;0;0;0;0;0
Dst;3882;2738;7143;5634;10668;3882;2738;7143;5634;10668;3882;2738;7143
Gm37354;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38157;0;0;0;0;0;0;0;0;0;0;0;0;0
A930005N03Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37385;0;0;0;0;0;0;0;0;0;0;0;0;0
Ccdc115;1388;1647;2298;1456;2201;1388;1647;2298;1456;2201;1388;1647;2298
Imp4;3430;5670;9946;3831;6954;3430;5670;9946;3831;6954;3430;5670;9946
Ptpn18;24;51;126;81;64;24;51;126;81;64;24;51;126
Prss39;3;0;0;1;3;3;0;0;1;3;3;0;0
Cfc1;1;0;2;0;1;1;0;2;0;1;1;0;2
Prss40;0;0;0;0;0;0;0;0;0;0;0;0;0
Amer3;3;1;2;1;0;3;1;2;1;0;3;1;2
Arhgef4;138;111;371;305;363;138;111;371;305;363;138;111;371
Fam168b;2915;4954;8404;3071;5697;2915;4954;8404;3071;5697;2915;4954;8404
Gm37127;0;0;0;0;0;0;0;0;0;0;0;0;0
Plekhb2;388;479;769;526;764;388;479;769;526;764;388;479;769
Gm38049;0;0;0;0;0;0;0;0;0;0;0;0;0
Hs6st1;1638;1567;2855;1635;1982;1638;1567;2855;1635;1982;1638;1567;2855
Uggt1;3900;3900;6767;4838;4860;3900;3900;6767;4838;4860;3900;3900;6767
Neurl3;9;4;33;5;1;9;4;33;5;1;9;4;33
Arid5a;140;129;282;154;248;140;129;282;154;248;140;129;282
Kansl3;1773;2544;4129;1746;3042;1773;2544;4129;1746;3042;1773;2544;4129
Fer1l5;1;0;0;0;0;1;0;0;0;0;1;0;0
Lman2l;555;748;1361;623;989;555;748;1361;623;989;555;748;1361
Cnnm4;351;422;635;297;404;351;422;635;297;404;351;422;635
Gm37909;0;0;0;0;0;0;0;0;0;0;0;0;0
Cnnm3;818;1773;3126;919;1817;818;1773;3126;919;1817;818;1773;3126
Ankrd23;2;11;13;4;6;2;11;13;4;6;2;11;13
Gm42417;1;9;24;6;11;1;9;24;6;11;1;9;24
Ankrd39;45;112;192;52;123;45;112;192;52;123;45;112;192
Sema4c;480;495;1048;231;238;480;495;1048;231;238;480;495;1048
Fam178b;293;318;411;283;259;293;318;411;283;259;293;318;411
Cox5b;1673;2030;3276;1905;2582;1673;2030;3276;1905;2582;1673;2030;3276
Actr1b;2605;3673;6229;2253;3430;2605;3673;6229;2253;3430;2605;3673;6229
4933424G06Rik;1;1;4;1;1;1;1;4;1;1;1;1;4
Zap70;164;47;69;96;80;164;47;69;96;80;164;47;69
Tmem131;5840;7677;11334;7127;9318;5840;7677;11334;7127;9318;5840;7677;11334
Gm37506;0;0;0;0;0;0;0;0;0;0;0;0;0
F830112A20Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Vwa3b;996;276;376;1355;409;996;276;376;1355;409;996;276;376
Cnga3;123;14;30;360;93;123;14;30;360;93;123;14;30
1700074A21Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Inpp4a;344;245;415;421;467;344;245;415;421;467;344;245;415
Gm37135;0;0;0;0;0;0;0;0;0;0;0;0;0
Coa5;2687;2772;5319;3276;3924;2687;2772;5319;3276;3924;2687;2772;5319
Unc50;787;834;1401;907;943;787;834;1401;907;943;787;834;1401
Mgat4a;365;355;598;335;283;365;355;598;335;283;365;355;598
4930594C11Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
2010300C02Rik;17;14;33;32;16;17;14;33;32;16;17;14;33
4930470B04Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm19863;0;0;0;0;0;0;0;0;0;0;0;0;0
Tsga10;90;125;112;109;121;90;125;112;109;121;90;125;112
Lipt1;270;275;421;199;244;270;275;421;199;244;270;275;421
Mitd1;729;711;1157;768;811;729;711;1157;768;811;729;711;1157
Mrpl30;1305;1586;2719;1291;1710;1305;1586;2719;1291;1710;1305;1586;2719
Lyg2;0;4;0;0;0;0;4;0;0;0;0;4;0
Lyg1;1;0;0;0;0;1;0;0;0;0;1;0;0
Txndc9;2227;2619;4786;2321;2535;2227;2619;4786;2321;2535;2227;2619;4786
Eif5b;9517;9762;16099;9542;9731;9517;9762;16099;9542;9731;9517;9762;16099
Rev1;2496;3601;6656;4283;5535;2496;3601;6656;4283;5535;2496;3601;6656
Aff3;420;1295;2225;309;1166;420;1295;2225;309;1166;420;1295;2225
2610300A13Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Lonrf2;13;17;21;8;9;13;17;21;8;9;13;17;21
Chst10;118;255;583;96;237;118;255;583;96;237;118;255;583
Nms;0;0;0;0;0;0;0;0;0;0;0;0;0
Pdcl3;1822;1828;3029;1657;1768;1822;1828;3029;1657;1768;1822;1828;3029
Gm37309;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37091;0;0;0;0;0;0;0;0;0;0;0;0;0
Npas2;9;1;2;7;11;9;1;2;7;11;9;1;2
Rpl31;13674;13717;25620;14766;18927;13674;13717;25620;14766;18927;13674;13717;25620
Tbc1d8;297;168;462;1045;709;297;168;462;1045;709;297;168;462
Gm37265;0;0;0;0;0;0;0;0;0;0;0;0;0
Cnot11;2016;2270;4097;1827;2197;2016;2270;4097;1827;2197;2016;2270;4097
Rnf149;1247;1530;2758;1513;1497;1247;1530;2758;1513;1497;1247;1530;2758
Creg2;6;4;6;2;0;6;4;6;2;0;6;4;6
Rfx8;3;1;3;1;0;3;1;3;1;0;3;1;3
Gm3646;0;0;0;0;0;0;0;0;0;0;0;0;0
Map4k4;8471;10180;15910;9322;13312;8471;10180;15910;9322;13312;8471;10180;15910
4930456G14Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Il1r2;6;4;12;8;3;6;4;12;8;3;6;4;12
Gm37347;0;0;0;0;0;0;0;0;0;0;0;0;0
Il1r1;11;45;69;4;15;11;45;69;4;15;11;45;69
Gm38070;0;0;0;0;0;0;0;0;0;0;0;0;0
Il1rl2;10;26;42;6;4;10;26;42;6;4;10;26;42
Il1rl1;0;0;1;0;0;0;0;1;0;0;0;0;1
Il18r1;0;0;1;0;0;0;0;1;0;0;0;0;1
Il18rap;1;0;0;0;0;1;0;0;0;0;1;0;0
Slc9a4;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37435;0;0;0;0;0;0;0;0;0;0;0;0;0
Slc9a2;25;22;45;18;29;25;22;45;18;29;25;22;45
Mfsd9;85;67;123;66;34;85;67;123;66;34;85;67;123
Tmem182;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37047;0;0;0;0;0;0;0;0;0;0;0;0;0
4930420N18Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Pou3f3;2;2;10;9;3;2;2;10;9;3;2;2;10
Mrps9;1843;2230;3765;1791;2471;1843;2230;3765;1791;2471;1843;2230;3765
Gpr45;9;4;16;6;18;9;4;16;6;18;9;4;16
Tgfbrap1;319;461;881;309;397;319;461;881;309;397;319;461;881
AI597479;1524;1269;2019;1754;1572;1524;1269;2019;1754;1572;1524;1269;2019
Fhl2;85;38;70;95;15;85;38;70;95;15;85;38;70
Nck2;597;729;1154;691;701;597;729;1154;691;701;597;729;1154
Gm37536;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38228;0;0;0;0;0;0;0;0;0;0;0;0;0
1500015O10Rik;3;12;40;0;6;3;12;40;0;6;3;12;40
Uxs1;1074;933;1473;1118;1247;1074;933;1473;1118;1247;1074;933;1473
Tpp2;4142;4164;7853;4488;4758;4142;4164;7853;4488;4758;4142;4164;7853
Mettl21c;0;0;1;0;0;0;0;1;0;0;0;0;1
Gm8251;0;12;18;2;6;0;12;18;2;6;0;12;18
Tex30;1326;1289;2216;1018;1081;1326;1289;2216;1018;1081;1326;1289;2216
Kdelc1;1255;1313;2481;1273;1268;1255;1313;2481;1273;1268;1255;1313;2481
Bivm;1015;863;1617;668;635;1015;863;1617;668;635;1015;863;1617
Ercc5;1053;1443;2883;2888;2964;1053;1443;2883;2888;2964;1053;1443;2883
Mettl21e;0;0;0;0;0;0;0;0;0;0;0;0;0
Gulp1;71;115;183;41;46;71;115;183;41;46;71;115;183
Gm37626;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38110;0;0;0;0;0;0;0;0;0;0;0;0;0
Col3a1;5;8;14;1;0;5;8;14;1;0;5;8;14
Col5a2;29;58;75;56;39;29;58;75;56;39;29;58;75
Gm38211;0;0;0;0;0;0;0;0;0;0;0;0;0
Wdr75;6730;7424;13852;6545;8278;6730;7424;13852;6545;8278;6730;7424;13852
Gm5269;0;0;0;0;0;0;0;0;0;0;0;0;0
Slc40a1;411;123;563;924;111;411;123;563;924;111;411;123;563
Dnah7b;23;30;60;16;20;23;30;60;16;20;23;30;60
Dnah7c;19;25;19;28;5;19;25;19;28;5;19;25;19
Slc39a10;4431;4972;7874;4476;4638;4431;4972;7874;4476;4638;4431;4972;7874
Gm37393;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38090;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37196;0;0;0;0;0;0;0;0;0;0;0;0;0
Tmeff2;7;7;23;7;5;7;7;23;7;5;7;7;23
Cavin2;0;0;2;0;0;0;0;2;0;0;0;0;2
Nabp1;1494;1150;1427;1360;1100;1494;1150;1427;1360;1100;1494;1150;1427
Gm37535;0;0;0;0;0;0;0;0;0;0;0;0;0
Myo1b;2740;1910;3144;3044;2509;2740;1910;3144;3044;2509;2740;1910;3144
Stat4;216;474;716;353;650;216;474;716;353;650;216;474;716
Stat1;322;625;870;741;1030;322;625;870;741;1030;322;625;870
Gls;3462;3029;4621;2426;1786;3462;3029;4621;2426;1786;3462;3029;4621
Nab1;415;137;328;348;190;415;137;328;348;190;415;137;328
Nemp2;515;566;851;579;607;515;566;851;579;607;515;566;851
Gm37242;0;0;0;0;0;0;0;0;0;0;0;0;0
Mfsd6;52;78;135;38;45;52;78;135;38;45;52;78;135
Inpp1;106;178;392;55;49;106;178;392;55;49;106;178;392
Hibch;537;530;823;503;524;537;530;823;503;524;537;530;823
1700019D03Rik;651;941;1764;509;1003;651;941;1764;509;1003;651;941;1764
Mstn;0;0;0;0;0;0;0;0;0;0;0;0;0
1700019A02Rik;131;74;75;75;55;131;74;75;75;55;131;74;75
Pms1;1131;1276;1964;1106;1201;1131;1276;1964;1106;1201;1131;1276;1964
Ormdl1;45;43;97;59;71;45;43;97;59;71;45;43;97
Gm28778;19;24;26;24;16;19;24;26;24;16;19;24;26
Osgepl1;470;472;901;467;474;470;472;901;467;474;470;472;901
Gm28551;5;3;8;9;7;5;3;8;9;7;5;3;8
Asnsd1;127;143;258;157;186;127;143;258;157;186;127;143;258
Dnah7a;44;88;189;74;143;44;88;189;74;143;44;88;189
Stk17b;1003;996;1815;874;914;1003;996;1815;874;914;1003;996;1815
Gm37863;0;0;0;0;0;0;0;0;0;0;0;0;0
Hecw2;26;91;253;54;99;26;91;253;54;99;26;91;253
Gm37633;0;0;0;0;0;0;0;0;0;0;0;0;0
Ccdc150;10;10;23;17;25;10;10;23;17;25;10;10;23
Gtf3c3;2686;2371;4061;2857;3076;2686;2371;4061;2857;3076;2686;2371;4061
Pgap1;1712;1421;2975;2580;3165;1712;1421;2975;2580;3165;1712;1421;2975
Gm36955;0;0;0;0;0;0;0;0;0;0;0;0;0
Ankrd44;46;46;121;254;159;46;46;121;254;159;46;46;121
Gm37370;0;0;0;0;0;0;0;0;0;0;0;0;0
A130048G24Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Sf3b1;16453;16390;27218;19419;21555;16453;16390;27218;19419;21555;16453;16390;27218
E330011M16Rik;0;0;2;0;3;0;0;2;0;3;0;0;2
Coq10b;692;611;1100;797;662;692;611;1100;797;662;692;611;1100
Hspd1;48564;60725;98133;44830;48540;48564;60725;98133;44830;48540;48564;60725;98133
Hspe1;9530;12120;20773;8676;12580;9530;12120;20773;8676;12580;9530;12120;20773
Mob4;1300;1323;2438;1696;1478;1300;1323;2438;1696;1478;1300;1323;2438
Rftn2;11;5;2;11;5;11;5;2;11;5;11;5;2
Mars2;560;624;1124;589;743;560;624;1124;589;743;560;624;1124
Boll;9;25;85;17;12;9;25;85;17;12;9;25;85
Plcl1;7;4;2;5;0;7;4;2;5;0;7;4;2
Gm38056;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37382;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm36986;0;0;0;0;0;0;0;0;0;0;0;0;0
Hsfy2;0;0;0;0;0;0;0;0;0;0;0;0;0
Satb2;216;25;45;393;35;216;25;45;393;35;216;25;45
Gm4081;0;0;0;0;0;0;0;0;0;0;0;0;0
1700066M21Rik;220;176;369;349;213;220;176;369;349;213;220;176;369
Tyw5;502;555;1081;659;664;502;555;1081;659;664;502;555;1081
Maip1;472;653;1035;647;690;472;653;1035;647;690;472;653;1035
Gm37373;0;0;0;0;0;0;0;0;0;0;0;0;0
Spats2l;84;35;116;50;15;84;35;116;50;15;84;35;116
Kctd18;488;351;704;627;397;488;351;704;627;397;488;351;704
Sgo2a;5336;3025;5005;5781;4834;5336;3025;5005;5781;4834;5336;3025;5005
Aox1;37;33;21;182;57;37;33;21;182;57;37;33;21
Aox3;15;1;9;19;3;15;1;9;19;3;15;1;9
Aox4;38;2;14;83;36;38;2;14;83;36;38;2;14
Aox2;1;1;0;9;1;1;1;0;9;1;1;1;0
Gm37607;6;12;38;22;30;6;12;38;22;30;6;12;38
Bzw1;23286;28556;47495;26626;28763;23286;28556;47495;26626;28763;23286;28556;47495
Clk1;3010;3450;6262;4377;4724;3010;3450;6262;4377;4724;3010;3450;6262
Ppil3;730;911;1742;976;1206;730;911;1742;976;1206;730;911;1742
Nif3l1;2106;2595;4473;2415;3068;2106;2595;4473;2415;3068;2106;2595;4473
Orc2;5853;6483;10356;6200;6666;5853;6483;10356;6200;6666;5853;6483;10356
Fam126b;518;445;778;605;507;518;445;778;605;507;518;445;778
Ndufb3;1033;922;1578;974;1078;1033;922;1578;974;1078;1033;922;1578
Als2cr12;0;2;8;3;1;0;2;8;3;1;0;2;8
Cflar;329;300;397;500;359;329;300;397;500;359;329;300;397
Casp8;21;51;77;25;19;21;51;77;25;19;21;51;77
Gm37760;0;0;0;0;0;0;0;0;0;0;0;0;0
